Date : 2022-07-27 09:56:21
Directory : c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot
Total : 199 files,  19217 codes, 86 comments, 1461 blanks, all 20764 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         72 |      8,328 |          0 |          1 |      8,329 |
| JavaScript         |        124 |      8,298 |         86 |      1,282 |      9,666 |
| Log                |          1 |      2,506 |          0 |        159 |      2,665 |
| JSON with Comments |          1 |         47 |          0 |          1 |         48 |
| Markdown           |          1 |         38 |          0 |         18 |         56 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        199 |     19,217 |         86 |      1,461 |     20,764 |
| src                                                                                                       |        194 |      9,500 |         86 |      1,282 |     10,868 |
| src\base                                                                                                  |         12 |      1,007 |         51 |        215 |      1,273 |
| src\classes                                                                                               |          6 |        537 |          1 |         67 |        605 |
| src\classes\buttons                                                                                       |          3 |         92 |          0 |          0 |         92 |
| src\commands                                                                                              |         57 |      4,435 |         18 |        587 |      5,040 |
| src\commands\admin                                                                                        |          7 |        229 |          0 |         34 |        263 |
| src\commands\combats                                                                                      |          1 |        153 |          3 |         26 |        182 |
| src\commands\escouades                                                                                    |         10 |        960 |          3 |        100 |      1,063 |
| src\commands\exploration                                                                                  |         10 |      1,005 |          7 |        134 |      1,146 |
| src\commands\owner                                                                                        |          2 |         70 |          0 |         10 |         80 |
| src\commands\quetes                                                                                       |          4 |        441 |          2 |         64 |        507 |
| src\commands\stats                                                                                        |         18 |      1,060 |          0 |        170 |      1,230 |
| src\commands\testing                                                                                      |          3 |        151 |          3 |         24 |        178 |
| src\commands\utilitaire                                                                                   |          2 |        366 |          0 |         25 |        391 |
| src\elements                                                                                              |         70 |      1,180 |          0 |          9 |      1,189 |
| src\elements\breaths                                                                                      |         14 |        443 |          0 |          0 |        443 |
| src\elements\categories                                                                                   |          8 |        136 |          0 |          0 |        136 |
| src\elements\grimoires                                                                                    |          7 |         64 |          0 |          0 |         64 |
| src\elements\kasugai_crows                                                                                |          5 |         30 |          0 |          0 |         30 |
