
2 LVL | 3 NLVL | 750 XP | 1 TXP | 1000 RQ | 999 RC
3 LVL | 4 NLVL | 1750 XP | 1 TXP | 1250 RQ | 1249 RC
4 LVL | 5 NLVL | 3000 XP | 1 TXP | 1500 RQ | 1499 RC
5 LVL | 6 NLVL | 4500 XP | 1 TXP | 1750 RQ | 1749 RC
6 LVL | 7 NLVL | 6250 XP | 1 TXP | 2000 RQ | 1999 RC
7 LVL | 8 NLVL | 8250 XP | 1 TXP | 2250 RQ | 2249 RC
8 LVL | 9 NLVL | 10500 XP | 1 TXP | 2500 RQ | 2499 RC
9 LVL | 10 NLVL | 13000 XP | 1 TXP | 2750 RQ | 2749 RC
10 LVL | 11 NLVL | 15750 XP | 1 TXP | 3000 RQ | 2999 RC
11 LVL | 12 NLVL | 18750 XP | 1 TXP | 3250 RQ | 3249 RC
12 LVL | 13 NLVL | 22000 XP | 1 TXP | 3500 RQ | 3499 RC
13 LVL | 14 NLVL | 25500 XP | 1 TXP | 3750 RQ | 3749 RC
14 LVL | 15 NLVL | 29250 XP | 1 TXP | 4000 RQ | 3999 RC
15 LVL | 16 NLVL | 33250 XP | 1 TXP | 4250 RQ | 4249 RC
